,trade_date,or_width,or_high,or_low,atr_14,pd_high,pd_low,pd_close,max_up,max_down,breakout_up_count,breakout_down_count,touches_pd_high,touches_pd_low,first_up_time,first_down_time,first_break_dir,or_atr_ratio,r_multiple,cum_equity_R
0,2018-01-01,,,,,,,,,,,,,,,,,,0.0,0.0
1,2018-01-02,,,,,1.20166,1.20007,1.20106,,,,,,,,,,,0.0,0.0
2,2018-01-03,,,,,1.20811,1.20078,1.20614,,,,,,,,,,,0.0,0.0
3,2018-01-04,,,,,1.20638,1.20011,1.20107,,,,,,,,,,,0.0,0.0
4,2018-01-05,,,,,1.20889,1.20044,1.20664,,,,,,,,,,,0.0,0.0
5,2018-01-07,,,,,1.20829,1.20205,1.20304,,,,,,,,,,,0.0,0.0
6,2018-01-08,,,,,1.20389,1.20259,1.2037,,,,,,,,,,,0.0,0.0
7,2018-01-09,,,,,1.20521,1.1956,1.19698,,,,,,,,,,,0.0,0.0
8,2018-01-10,,,,,1.19755,1.19156,1.19284,,,,,,,,,,,0.0,0.0
9,2018-01-11,,,,,1.20179,1.19231,1.19558,,,,,,,,,,,0.0,0.0
